timestamp,extranonce,patoshi
1240974529,223,1
1240976008,224,1
1240976993,236,1
1240977488,248,1
1240978066,162,0
1240978258,259,1
1240979271,266,1
1240980228,277,1
1240980813,282,1
1240981654,285,1
1240983048,299,1
1240984231,304,1
1240984572,307,1
1240985600,315,1
1240986873,318,1
1240987669,326,1
1240988653,333,1
1240989189,342,1
1240990001,348,1
1240991090,372,1
1240991745,380,1
1240992564,383,1
1240993740,385,1
1240995056,387,1
1240996325,392,1
1240997004,188,0
1240997207,184,0
1240997427,393,1
1240997951,395,1
1240999046,283,0
1240999058,398,1
1240999904,400,1
1241000875,409,1
1241001600,420,1
1241002278,425,1
1241002435,7187,0
1241002402,290,0
1241002805,428,1
1241002891,5452,0
1241003749,429,1
1241003883,198,0
1241003982,199,0
1241004547,435,1
1241005057,440,1
1241006475,441,1
1241007753,451,1
1241008288,460,1
1241009400,205,0
1241009748,302,0
1241009876,484,1
1241010038,304,0
1241010183,605,0
1241010539,5466,0
1241010875,485,1
1241012042,212,0
1241012254,502,1
1241012638,7208,0
1241013210,215,0
1241013746,513,1
1241014346,515,1
1241015842,522,1
1241016802,523,1
1241017391,527,1
1241017996,529,1
1241019203,318,0
1241019464,538,1
1241020817,539,1
1241021396,543,1
1241022003,549,1
1241022264,323,0
1241022873,624,0
1241023531,556,1
1241024265,557,1
1241024293,4,0
1241025836,579,1
1241026492,593,1
1241026636,330,0
1241027621,610,1
1241028345,612,1
1241028839,613,1
1241029367,634,0
1241029678,620,1
1241029912,245,0
1241030084,622,1
1241030765,247,0
1241030911,623,1
1241031730,629,1
1241033164,635,1
1241033601,646,1
1241034720,651,1
1241035652,653,1
1241035866,5506,0
1241036203,655,1
1241036894,658,1
1241037331,661,1
1241038327,668,1
1241039208,671,1
1241040651,672,1
1241041402,678,1
1241042227,263,0
1241042448,7253,0
1241042357,680,1
1241042457,357,0
1241043397,682,1
1241044061,694,1
1241044122,360,0
1241044824,700,1
1241045832,701,1
1241046771,709,1
1241046904,364,0
1241048156,720,1
1241048514,722,1
1241049884,724,1
1241050442,731,1
1241050856,732,1
1241051853,736,1
1241052284,747,1
1241053733,752,1
1241054241,754,1
1241054615,759,1
1241054904,375,0
1241055416,769,1
1241056479,773,1
1241056608,5,0
1241056830,379,0
1241057725,775,1
1241058555,784,1
1241059474,382,0
1241060045,786,1
1241060470,796,1
1241061102,797,1
1241061580,386,0
1241061788,802,1
1241062668,812,1
1241062921,16,0
1241064049,815,1
1241064893,819,1
1241065649,827,1
1241066094,828,1
1241066445,303,0
1241066978,299,0
1241067118,843,1
1241068186,850,1
1241069613,857,1
1241070269,399,0
1241070968,875,1
1241071991,401,0
1241072376,890,1
1241073229,403,0
1241073365,896,1
1241073804,897,1
1241075181,906,1
1241076596,407,0
1241076752,916,1
1241077114,919,1
1241078283,920,1
1241079196,922,1
1241080318,927,1
1241081179,317,0
1241081297,930,1
1241081831,319,0
1241081858,931,1
1241082514,417,0
1241083316,939,1
1241083474,719,0
1241083665,420,0
1241083738,941,1
1241085084,950,1
1241086293,958,1
1241087422,959,1
1241088378,970,1
1241089245,426,0
1241089651,336,0
1241089731,973,1
1241090145,975,1
1241090315,7328,0
1241090954,985,1
1241091773,987,1
1241092523,992,1
1241093538,343,0
1241093870,994,1
1241094623,436,0
1241094835,1005,1
1241095585,342,0
1241095727,1008,1
1241096317,1011,1
1241097569,345,0
1241097585,1019,1
1241098995,1028,1
1241099488,1029,1
1241099759,7343,0
1241100244,1036,1
1241100750,1040,1
1241101119,1041,1
1241101527,1042,1
1241102570,1052,1
1241103853,1056,1
1241104891,1060,1
1241105355,1067,1
1241106243,1080,1
1241106656,1084,1
1241107959,5616,0
1241108118,1086,1
1241109671,1097,1
1241110168,1099,1
1241110619,1100,1
1241111417,1101,1
1241111838,1104,1
1241112767,1117,1
1241113184,1119,1
1241113498,1120,1
1241114845,1123,1
1241115313,371,0
1241115756,57,0
1241115938,1124,1
1241116702,1126,1
1241117343,1131,1
1241117384,380,0
1241117853,1134,1
1241119248,1138,1
1241119982,1144,1
1241120970,1145,1
1241121818,1148,1
1241121908,382,0
1241122389,1150,1
1241122526,480,0
1241123200,1152,1
1241123829,386,0
1241123944,1157,1
1241124978,1158,1
1241126154,1184,1
1241126837,77,0
1241127653,1185,1
1241128160,1194,1
1241129117,1199,1
1241129348,79,0
1241129761,82,0
1241130020,1212,1
1241131012,1215,1
1241132387,1223,1
1241133555,1226,1
1241134161,1233,1
1241135617,1242,1
1241136855,1259,1
1241137054,14,0
1241138228,1266,1
1241138809,1274,1
1241139211,17,0
1241139819,338,0
1241140793,1287,1
1241142331,1300,1
1241142951,1327,1
1241143884,7405,0
1241143782,1339,1
1241144142,7407,0
1241144117,99,0
1241145131,1344,1
1241148551,1345,1
1241149072,1360,1
1241149525,1367,1
1241150151,21,0
1241150469,1369,1
1241151566,1375,1
1241152184,1376,1
1241153289,1378,1
1241154357,1388,1
1241154378,425,0
1241155023,1390,1
1241155924,431,0
1241156548,1396,1
1241158010,1399,1
1241158969,1404,1
1241160386,1413,1
1241161382,1415,1
1241162305,1420,1
1241162765,36,0
1241163366,1423,1
1241164046,1427,1
1241164592,1428,1
1241165148,1431,1
1241165680,1438,1
1241167085,1442,1
1241168549,1444,1
1241169909,1449,1
1241170669,1454,1
1241170760,128,0
1241170999,445,0
1241171673,7437,0
1241171834,1458,1
1241172802,1474,1
1241172831,130,0
1241173391,451,0
1241173796,1475,1
1241173905,453,0
1241174413,1477,1
1241175620,1484,1
1241176260,1489,1
1241176762,1497,1
1241177619,59,0
1241178220,1499,1
1241178578,7450,0
1241178786,1500,1
1241180045,1501,1
1241180563,1505,1
1241181564,1506,1
1241182239,1516,1
1241183226,1521,1
1241184394,1527,1
1241184786,1532,1
1241185700,1533,1
1241186655,1537,1
1241188042,1539,1
1241188683,1540,1
1241189308,472,0
1241189914,1559,1
1241191092,1568,1
1241191177,475,0
1241191211,157,0
1241192234,477,0
1241192538,1569,1
1241193992,1586,1
1241194566,1588,1
1241195073,1590,1
1241195796,1593,1
1241195810,85,0
1241195985,168,0
1241197285,1594,1
1241197868,1599,1
1241197992,15,0
1241198671,1601,1
1241199219,17,0
1241199996,1613,1
1241200684,93,0
1241200950,1617,1
1241201406,1619,1
1241201911,96,0
1241202673,1626,1
1241204032,1628,1
1241204254,99,0
1241204915,1629,1
1241205581,1630,1
1241206056,1631,1
1241207506,1633,1
1241208140,1638,1
1241209515,1641,1
1241209572,15,0
1241210335,1645,1
1241211615,1646,1
1241212153,1653,1
1241212977,1656,1
1241213187,20,0
1241214151,1659,1
1241214747,18,0
1241214944,512,0
1241215306,1661,1
1241216029,1665,1
1241216468,1672,1
1241217214,1675,1
1241218245,1687,1
1241219171,1693,1
1241219840,1697,1
1241220823,1718,1
1241221592,1724,1
1241222355,1736,1
1241223130,1739,1
1241223563,1748,1
1241223657,525,0
1241224798,1753,1
1241225261,1759,1
1241225747,1760,1
1241226202,40,0
1241226541,132,0
1241226766,923,0
1241227241,1762,1
1241227389,533,0
1241228150,1765,1
1241228856,1775,1
1241229993,1784,1
1241230446,929,0
1241231437,930,0
1241231461,1793,1
1241232939,1802,1
1241233757,222,0
