height,block hash,is_spent,patoshi,patoshi_confidence_score
115,000000002c49a539fd73c253dbcd8afaa392bb36e02863bcca3e84456e05aec8,0,1,0.994315
116,000000007bf2805ee06ee9d6eb1197a8818e7c36e47d9fb081ce8ae1206c3c71,0,1,0.994791
117,0000000099bf32f17e8d5103e990c108c6f2caa6bd17283a77ca026a8c3bc4c8,0,1,0.995127
118,0000000054584932c3ac880b5dab1d76043eeb5df437ef468f627791cb1541f3,0,1,0.994312
119,00000000874690df6c40179f473fbe73aca69963823cc6b886e250bae690466a,0,1,0.995455
120,0000000068e1ce37e6d50d1e960255c00047d9c808146b77df2dc186ab1bc92a,0,1,0.993394
121,000000008a6086520151f1385c6f5a148572b0c36156d713b48e6e5b6330529b,0,1,0.976425
122,000000008d98d186565441057e87cc03251b95b9042956c9fb11325e2d4a847a,0,1,0.981213
123,00000000a3bbe4fd1da16a29dbdaba01cc35d6fc74ee17f794cf3aab94f7aaa0,0,1,0.973499
124,00000000ceae2b1cb578f066bd08c672fe87814880671c205febb2d624184f21,0,1,0.984876
125,000000002f4afd677b14f17a19ef5f9584155e7a43b0375c85a5d52b43959916,0,1,0.983276
126,000000007f5e80d3196ea9e3f0c0c0dc9d2b75af2d432df5ffe49956d34723fa,0,1,0.980973
127,00000000467a752a3365c86f267d340635e66703ad4071c61e9b394ef172665b,0,1,0.524148
128,00000000dda07b33ea6dc860805e868c05f8ffa2e8d35a8157a51ec64f0818f0,0,1,0.609549
129,000000001884b26b0a2482be00f3dc03131154430462453c7193b6079daaf0eb,0,1,0.796680
130,00000000a639917e11de9c36aa5d2e5f3352c2fcef06729ac9540b84837c59a1,0,1,0.833927
131,00000000c022945291aca0d76b730dccbb0161ac83fa86feaea192d5c70cce67,0,0,
132,000000007fa3a39f556782005d5f041b9e6e0e8c1bfbbfc9be81437e5537ba17,0,1,0.876517
133,00000000f07b7bf9f822bbf60da65ca37459597023c8f128642fec83c13ee9f8,0,1,0.869586
134,000000008b531a4e66ea3065d1f3368f27780b97b5070c1498dc43497a473c3a,0,1,0.885471
135,000000007dabe608fd4225d279d268f431eed773f03d0a524f1cb079989ff93a,0,1,0.897564
136,00000000b8885739dee79a5530ff50fceaea8db5d863507420aa0ef21f84ba79,0,1,0.909694
137,0000000064cc28514d6152b3c1c111424ad227fadff41da947a99535a83a824a,0,1,0.895113
138,00000000499c3e522e95be30db6826524905e3bd95910e8011c4f624e35bd0fa,0,1,0.902501
139,00000000d8b8cf67b07679b59e46aeaedd7358f0fa70e2ef8ac347fdcb731f1d,0,1,0.903940
140,00000000b09816342f1f080ca651552cd7d5ac3cf23e28ebe1af416ebd3b0395,0,1,0.981562
141,00000000a83dac69280eec98d9e650a3c69f0db88a3abf68b4c008b373af0ee5,0,1,0.981194
142,00000000d93e4c9b4340fae149648a7abc4c914f95a77458dafe03bc211900a0,0,1,0.977704
143,0000000049ec23bf6bfc47b5c8560b15dd52fb57db15ef185d78d4af12871861,0,1,0.970861
144,000000007f47b4ef1a99f9a961199a5878852e7695ef07820de4b7fa45bda802,0,1,0.991531
145,000000002e76e88e6ca526f324505fae2cc8245af31e92279f031a6019270512,0,1,0.987915
146,000000006e7fe1ebbae18fd9ea0c8b696f1fec8e5de738ef47af1299374a081c,0,1,0.987426
147,000000001a7a484e9f1e96f2c103162cc0146ca7ce648c2498726a2dbb51967e,0,1,0.991698
148,00000000e7b834752cbd32d559550f71f62b2d23c3facd7b7a4024e5dd3ba835,0,1,0.990853
149,0000000011c8275cbb5dc8010892e10415c9550ed4513945f96452fe38903d93,0,1,0.988622
150,000000009ca75733b4cf527fe193b919201a2ed38c9e147a5665fdfade551f4d,0,1,0.987559
