date,timestamp,price,daily_high,block_height,epoch,epoch_height,subsidy,supply,market_cap,eod_utc
11/5/22,2022-11-05 23:50:00,21276.101571165622,21443.025695830776,761899,4,131899,6.25,19199375.0,408487852602.89795,True
11/6/22,2022-11-06 23:50:00,20932.95670949809,21338.80009499328,762038,4,132038,6.25,19200243.75,401917871230.5612,True
11/7/22,2022-11-07 23:50:00,20593.726758404704,21047.19565868985,762181,4,132181,6.25,19201137.5,395422979125.558,True
11/8/22,2022-11-08 23:50:00,18534.268954303996,20663.223048871896,762345,4,132345,6.25,19202162.5,355898044279.2504,True
11/9/22,2022-11-09 23:50:00,15863.344442053849,18590.459569580897,762492,4,132492,6.25,19203081.25,304625092217.496,True
11/10/22,2022-11-10 23:50:00,17571.845599107495,17971.91867706007,762641,4,132641,6.25,19204012.5,337449942533.3303,True
11/11/22,2022-11-11 23:50:00,17008.58460348133,17630.250294764803,762774,4,132774,6.25,19204843.75,326647209718.51465,True
11/12/22,2022-11-12 23:50:00,16798.10588757484,17066.675491252296,762942,4,132942,6.25,19205893.75,322622636878.0118,True
11/13/22,2022-11-13 23:50:00,16346.559408915966,16919.00531926883,763070,4,133070,6.25,19206693.75,313963360433.23,True
11/14/22,2022-11-14 23:50:00,16634.915116692307,17095.194180469658,763194,4,133194,6.25,19207468.75,319514612262.7701,True
11/15/22,2022-11-15 23:50:00,16867.778753046132,17036.8171258178,763349,4,133349,6.25,19208437.5,324003673941.71454,True
11/16/22,2022-11-16 23:50:00,16663.07851199409,16960.29517836233,763498,4,133498,6.25,19209368.75,320087219647.09576,True
11/17/22,2022-11-17 23:50:00,16686.21577138809,16722.8536460281,763637,4,133637,6.25,19210237.5,320546167944.61096,True
11/18/22,2022-11-18 23:50:00,16695.351767196946,16947.05840111188,763775,4,133775,6.25,19211100.0,320736072334.79724,True
11/19/22,2022-11-19 23:50:00,16717.710302660806,16781.59203258655,763923,4,133923,6.25,19212025.0,321181068277.477,True
11/20/22,2022-11-20 23:50:00,16287.915327506316,16737.384873805215,764072,4,134072,6.25,19212956.25,312939004591.08325,True
11/21/22,2022-11-21 23:50:00,15797.530616084778,16267.258819490824,764199,4,134199,6.25,19213750.0,303529803874.7989,True
11/22/22,2022-11-22 23:50:00,16178.883701742954,16253.047746702146,764327,4,134327,6.25,19214550.0,310869969831.3251,True
11/23/22,2022-11-23 23:50:00,16622.307375772878,16622.307375772878,764467,4,134467,6.25,19215425.0,319404700706.11053,True
11/24/22,2022-11-24 23:50:00,16589.331962069104,16771.47524317893,764596,4,134596,6.25,19216231.25,318784439266.1361,True
11/25/22,2022-11-25 23:50:00,16526.632319993307,16593.094796781283,764719,4,134719,6.25,19217000.0,317592293293.3114,True
11/26/22,2022-11-26 23:50:00,16470.60789995506,16655.18684272064,764827,4,134827,6.25,19217675.0,316526789673.76886,True
11/27/22,2022-11-27 23:50:00,16449.99694972861,16590.79782735575,764964,4,134964,6.25,19218531.25,316144780440.764,True
11/28/22,2022-11-28 23:50:00,16221.619747480898,16479.005405636224,765104,4,135104,6.25,19219406.25,311769899959.8578,True
