date_iso,timestamp_utc,price,block_height,days_ago,daily_dca_basis,weekly_dca_basis,monthly_dca_basis
2024-08-09,2024-08-09 23:50:00+00:00,60925.3573108650,856092,659,86256.0554598891,86054.9049064815,84262.7422316370
2024-08-10,2024-08-10 23:50:00+00:00,60879.1047785142,856221,658,86310.5919616156,86054.9049064815,84262.7422316370
2024-08-11,2024-08-11 23:50:00+00:00,58757.7734285243,856382,657,86365.5053761561,86054.9049064815,84262.7422316370
2024-08-12,2024-08-12 23:50:00+00:00,59342.1206789390,856519,656,86427.4085692406,86054.9049064815,84262.7422316370
2024-08-13,2024-08-13 23:50:00+00:00,60595.3481904949,856668,655,86487.6760893554,86054.9049064815,84262.7422316370
2024-08-14,2024-08-14 23:50:00+00:00,58732.3365757333,856798,654,86544.2208196344,86054.9049064815,84262.7422316370
2024-08-15,2024-08-15 23:50:00+00:00,57619.4649865465,856959,653,86607.0256543218,86054.9049064815,84262.7422316370
2024-08-16,2024-08-16 23:50:00+00:00,58921.3360823619,857100,652,86673.9036440589,86434.1711615724,84262.7422316370
2024-08-17,2024-08-17 23:50:00+00:00,59446.2624508841,857250,651,86736.6592149127,86434.1711615724,84262.7422316370
2024-08-18,2024-08-18 23:50:00+00:00,58482.7453172541,857407,650,86797.9621781266,86434.1711615724,84262.7422316370
2024-08-19,2024-08-19 23:50:00+00:00,59569.7229493952,857537,649,86862.7630850624,86434.1711615724,84262.7422316370
2024-08-20,2024-08-20 23:50:00+00:00,59051.2774869839,857686,648,86924.2230269314,86434.1711615724,84262.7422316370
2024-08-21,2024-08-21 23:50:00+00:00,61164.6944167579,857834,647,86987.6840481607,86434.1711615724,84262.7422316370
2024-08-22,2024-08-22 23:50:00+00:00,60388.1533923417,857991,646,87044.5712907292,86434.1711615724,84262.7422316370
2024-08-23,2024-08-23 23:50:00+00:00,64033.1899577438,858157,645,87104.1826924685,86870.3366657237,84262.7422316370
2024-08-24,2024-08-24 23:50:00+00:00,64120.1732328145,858311,644,87152.9419775517,86870.3366657237,84262.7422316370
2024-08-25,2024-08-25 23:50:00+00:00,64308.3831661740,858443,643,87201.6572601211,86870.3366657237,84262.7422316370
2024-08-26,2024-08-26 23:50:00+00:00,62929.6078626517,858577,642,87250.0378225825,86870.3366657237,84262.7422316370
2024-08-27,2024-08-27 23:50:00+00:00,59545.8405351091,858718,641,87302.6741694615,86870.3366657237,84262.7422316370
2024-08-28,2024-08-28 23:50:00+00:00,59024.8230392339,858880,640,87366.3071839582,86870.3366657237,84262.7422316370
2024-08-29,2024-08-29 23:50:00+00:00,59352.7290331122,859012,639,87432.0059904135,86870.3366657237,84262.7422316370
2024-08-30,2024-08-30 23:50:00+00:00,59145.6299649464,859151,638,87496.8869330016,87208.4071306903,84262.7422316370
2024-08-31,2024-08-31 23:50:00+00:00,58971.6543364991,859302,637,87562.7784881939,87208.4071306903,84262.7422316370
2024-09-01,2024-09-01 23:50:00+00:00,57319.9485439699,859443,636,87629.5792678045,87208.4071306903,85439.2991578208
2024-09-02,2024-09-02 23:50:00+00:00,59099.3799773517,859611,635,87702.6113449312,87208.4071306903,85439.2991578208
2024-09-03,2024-09-03 23:50:00+00:00,57469.4226985167,859759,634,87769.6132422842,87208.4071306903,85439.2991578208
