address,Year,grader,grade,grader link,auction date,auction sale amount,auction link
1CagQYVB6BzCtapQqYLjqPtoRrTE5SXxxU,2011,PCGS,MS63,https://www.pcgs.com/cert/49746664,"Aug 15, 2024","$60,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-loaded-unredeemed-1-bitcoin-btc-2011-ms63-pcgs-/a/3118-32011.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
1CcGTR7o2H2p1u4oZi9MyvvYdViKT4pqdd,2011,PCGS,MS66,https://www.pcgs.com/cert/49748397,"Aug 15, 2024","$60,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-loaded-unredeemed-1-bitcoin-btc-2011-ms66-pcgs-/a/3118-32008.s?ic16=ViewItem-BrowseTabs-Auction-Archive-ThisAuction-120115
1GCufn8uEWqnTRXAbwiaxzdkvCHFSwytqT,2011,PCGS,Genuine,https://www.pcgs.com/cert/49743279,"Aug 15, 2024","$180,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-gold-plated-brass-storage-bar-bearer-bar-loaded-unredeemed-3-bitcoin-btc-2011-genuine-pcgs-/a/3118-32012.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
1QBWPrTPz5EZ23KLCDAtRf2HGjH89ZLw1K,2011,PCGS,MS63,https://www.pcgs.com/cert/49743470,"Aug 15, 2024","$4,800.00",https://coins.ha.com/itm/cryptocurrency/casascius-gilt-brass-unloaded-redeemed-25-bitcoin-btc-2011-ms63-pcgs-/a/3118-32013.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
2012 Mule Bitnickel,2012,PCGS,MS64,https://www.pcgs.com/cert/49743471,"Aug 15, 2024","$2,160.00",https://coins.ha.com/itm/cryptocurrency/casascius-nickel-unloaded-unfunded-bitnickel-5-bitcoin-btc-2012-ms64-pcgs-/a/3118-32016.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
1AuHc241cAwfLQ7u,2012,NGC,PF68UCAM,https://www.ngccoin.com/certlookup/8209231-003/68/,"Aug 15, 2024","$55,200.00",https://coins.ha.com/itm/cryptocurrency/casascius-gold-unloaded-unfunded-gold-cas-1000-bitcoin-btc-2012-pr68-ultra-cameo-ngc-/a/3118-32017.s?ic16=ViewItem-BrowseTabs-Auction-Archive-ThisAuction-120115
1AgyzVmdpfHmWMxh3dRrKe4X73uQZ1SydA,2013,NGC,PF69UCAM,https://www.ngccoin.com/certlookup/8209222-005/69/,"Aug 15, 2024","$14,400.00",https://coins.ha.com/itm/cryptocurrency/casascius-silver-proof-loaded-unredeemed-01-bitcoin-btc-2013-pr69-ultra-cameo-ngc-/a/3118-32018.s?ic16=ViewItem-BrowseTabs-Auction-Archive-ThisAuction-120115
1Agy2FRJ5eY5rFUUcBEZjqzVdF36QnA4SG,2013,PCGS,PR68DCAM,https://www.pcgs.com/cert/49748532,"Aug 15, 2024","$10,800.00",https://coins.ha.com/itm/cryptocurrency/casascius-silver-proof-loaded-unredeemed-01-bitcoin-btc-2013-pr68-deep-cameo-pcgs-/a/3118-32019.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
1AgyyPm3ZbW3bu8EgNBr4G1rmT5vP9966L,2013,PCGS,PR67DCAM,https://www.pcgs.com/cert/49748535,"Aug 15, 2024","$10,200.00",https://coins.ha.com/itm/cryptocurrency/casascius-silver-proof-loaded-unredeemed-01-bitcoin-btc-2013-pr67-deep-cameo-pcgs-/a/3118-32020.s?ic16=ViewItem-BrowseTabs-Auction-Archive-ThisAuction-120115
1AgMX8KbtkjrTu5KPKKBpvnY873dTzSHM8,2013,NGC,PF69UCAM,https://www.ngccoin.com/certlookup/8209222-002/69/,"Aug 15, 2024","$36,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-silver-proof-loaded-unredeemed-05-bitcoin-btc-2013-pr69-ultra-cameo-ngc-/a/3118-32021.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
1AgQtm5Rp2g8b4Wr9j2Gb3KafAY6k7EwuG,2013,PCGS,PR68DCAM,https://www.pcgs.com/cert/49748531,"Aug 15, 2024","$31,200.00",https://coins.ha.com/itm/cryptocurrency/casascius-silver-proof-loaded-unredeemed-05-bitcoin-btc-2013-pr68-deep-cameo-pcgs-/a/3118-32022.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
1Agk99qwWkC4eFvB9VWYz86NYbWmE4wGtL,2013,NGC,PF69UCAM,https://www.ngccoin.com/certlookup/8209223-002/69/,"Aug 15, 2024","$66,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-silver-proof-loaded-unredeemed-1-bitcoin-btc-2013-pr69-ultra-cameo-ngc-/a/3118-32023.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
1Agsmd1mnJo3tQC5AYKfZdRC79LfWS7YTL,2013,NGC,PF68UCAM,https://www.ngccoin.com/certlookup/8209223-003/68/,"Aug 15, 2024","$60,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-silver-proof-loaded-unredeemed-1-bitcoin-btc-2013-pr68-ultra-cameo-ngc-/a/3118-32024.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
1Ag1kGst7Zwdk9vLYMHSgkDtC4dZc5bNo8,2013,PCGS,PR66DCAM,https://www.pcgs.com/cert/49748529,"Aug 15, 2024","$66,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-silver-proof-loaded-unredeemed-1-bitcoin-btc-2013-pr66-deep-cameo-pcgs-/a/3118-32025.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
124boFgH3pdTyLoyyaUXZ7fMjZKxiubwyf,2013,NGC,MS66,https://www.ngccoin.com/certlookup/6833758-242/66/,"Aug 15, 2024","$31,200.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-loaded-unredeemed-05-bitcoin-btc-2013-ms66-ngc-/a/3118-32026.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
1248ut4ZMHZrsprtG3Cy4fz18WLoYunP1N,2013,NGC,MS65,https://www.ngccoin.com/certlookup/6842231-004/65/,"Aug 15, 2024","$31,200.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-loaded-unredeemed-05-bitcoin-btc-2013-ms65-ngc-/a/3118-32027.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
13A6aEmfTchDmaToVg6Wd2XA6F9cBMKvme,2013,PCGS,MS67+,https://www.pcgs.com/cert/49747620,"Aug 15, 2024","$66,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-loaded-unredeemed-1-bitcoin-btc-2013-ms67-pcgs-/a/3118-32028.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
138cgNxDDmjwyXBLpvcMfZXjBfrByTmZ44,2013,NGC,MS67,https://www.ngccoin.com/certlookup/6842226-002/67/,"Aug 15, 2024","$66,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-loaded-unredeemed-1-bitcoin-btc-2013-ms67-ngc-/a/3118-32029.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
13C7soAzmpLURhUXU7yRPMyAeBRjefTQ8e,2013,PCGS,MS68,https://www.pcgs.com/cert/49743694,"Aug 15, 2024","$1,170.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-unloaded-redeemed-1-bitcoin-btc-2013-ms68-pcgs-/a/3118-32031.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
13CvZNP2LD65YaRm2ZEamrnmJNZeupTvH2,2013,NGC,MS67,https://www.ngccoin.com/certlookup/8209191-018/67/,"Aug 15, 2024",$870.00,https://coins.ha.com/itm/cryptocurrency/casascius-brass-unloaded-redeemed-1-bitcoin-btc-2013-ms67-ngc-/a/3118-32032.s?ic16=ViewItem-BrowseTabs-Auction-Archive-ThisAuction-120115
13C4RAKwBHpPdB1fP5uQKeaTrnnmAPfoqm,2013,NGC,MS66,https://www.ngccoin.com/certlookup/8209191-017/66/,"Aug 15, 2024",$720.00,https://coins.ha.com/itm/cryptocurrency/casascius-brass-unloaded-redeemed-1-bitcoin-btc-2013-ms66-ngc-/a/3118-32033.s?ic16=ViewItem-BrowseTabs-Auction-Archive-ThisAuction-120115
13CKembnnG1JR84RnnQKLKGGTEsyReMYHp,2013,NGC,MS65,https://www.ngccoin.com/certlookup/8209191-019/65/,"Aug 15, 2024",$432.00,https://coins.ha.com/itm/cryptocurrency/casascius-brass-unloaded-redeemed-1-bitcoin-btc-2013-ms65-ngc-/a/3118-32034.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
13C7f877BR4SKE6Xm9kKbunZtHC7g5wHdW,2013,NGC,MS64,https://www.ngccoin.com/certlookup/8209191-016/64/,"Aug 15, 2024",$492.00,https://coins.ha.com/itm/cryptocurrency/casascius-brass-unloaded-redeemed-1-bitcoin-btc-2013-ms64-ngc-/a/3118-32035.s?ic16=ViewItem-BrowseTabs-Auction-Archive-ThisAuction-120115
133A3kXFrP484Zjz7gTBf2H8bKdTW14SUL,2013,NGC,MS66,https://www.ngccoin.com/certlookup/6842227-001/66/,"Dec 8, 2024","$102,000.00",https://coins.ha.com/itm/cryptocurrency/cryptocurrency-casascius-brass-loaded-unredeemed-1-bitcoin-btc-2013-ms66-ngc-/a/3120-30190.s?ic4=ListView-ShortDescription-071515
124WfK33aWSjdENkzuYqPvGDt2v7TSkTVZ,2013,NGC,MS66,https://www.ngccoin.com/certlookup/6833758-231/66/,"Dec 8, 2024","$52,800.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-loaded-unredeemed-05-bitcoin-btc-2013-ms66-ngc-/a/3120-30183.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
125Q7sJ2p6zDVHFrqQwNsXSkZVaRmFvibd,2013,PCGS,MS66,https://www.pcgs.com/cert/49747460,"Dec 8, 2024","$54,000.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-loaded-unredeemed-05-bitcoin-btc-2013-ms66-pcgs-/a/3120-30184.s?ic16=ViewItem-BrowseTabs-Auction-Archive-ThisAuction-120115
12424P5NM1MtdqHQH7bZUjZC7Z5ZbN5QtP,2013,PCGS,MS65,https://www.pcgs.com/cert/49747413,"Dec 8, 2024","$52,800.00",https://coins.ha.com/itm/cryptocurrency/casascius-brass-loaded-unredeemed-05-bitcoin-btc-2013-ms65-pcgs-/a/3120-30185.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
18Ps5KtamRPhtXYwcxWGeRTMukfEwnLJq5,2011,NGC,MS66,https://www.ngccoin.com/certlookup/8209196-003/66/,"Dec 8, 2024",Not Sold,https://coins.ha.com/itm/cryptocurrency/casascius-brass-casacius-loaded-unredeemed-1-bitcoin-btc-2011-ms66-ngc-/a/3120-30186.s?ic16=ViewItem-BrowseTabs-Inventory-BuyNowFromOwner-ThisAuction-120115
1P9Y1p9dH5P3G3ee6C6o3wzJ1zH3Mu9WjG,2011,NGC,MS65,https://www.ngccoin.com/certlookup/8209199-002/65/,"Dec 8, 2024",Not Sold,https://coins.ha.com/itm/cryptocurrency/casascius-brass-casacius-loaded-unredeemed-1-bitcoin-btc-2011-ms65-ngc-/a/3120-30187.s?ic16=ViewItem-BrowseTabs-Auction-Archive-ThisAuction-120115
