Index,Address,Type,Status,Value,Balance,Create Block,Redeem Block,Create Time,Redeem Time
43706,13H1KeaFEP6cohUyDxxsgR1d1hwZBswqVC,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,241980,937267,1371451700,1771438138
22265,1CsePeHqjot91KVwgFPX8oVvEkQEoeZe98,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,213532,937161,1356418584,1771375609
16836,1CatNVLfykoWTtCJypkdoRpVtXsKVYsfTE,S2-COIN-1-2011,Redeemed,1.00000000,0E-8,157370,936945,1323802451,1771264713
17141,1CaWadBktxBkZk2orQgxYbk8dLFZQstfgc,S2-COIN-1-2011,Redeemed,1.00000000,0E-8,157370,936945,1323802451,1771264713
17745,1CC3BVxzKvQQQk6zQdoA43kbwWszDdAWuW,S2-COIN-1-2011,Redeemed,1.00000000,0E-8,157370,936945,1323802451,1771264713
60877,1AgwY8qWmXJ2FktqP4D4Mg5UygdYDjDp8Z,S3-COIN-0.1-AG,Redeemed,0.10000000,0E-8,274778,936769,1386995663,1771175455
49458,1Ag3zLLuHVPHPYoYMMe9NdNeNhXTUS56PA,S3-COIN-1-AG,Redeemed,1.00000000,0E-8,261298,936643,1380729047,1771124228
3176,18njUH4XhGpUjvwbT3fwz5hkktsKv6Sc1H,S1-COIN-1,Redeemed,1.00000000,0E-8,153165,936400,1321223827,1771001364
10829,1QJQpQprJLJHhStPmF9saR8FUfdM5nXx6d,S1-COIN-25,Redeemed,25.00000000,0E-8,156280,936257,1323155245,1770920843
5125,1Cp56GcxWGpzw7xsuczffjSbhiBKQW9oRX,S1-COIN-5,Redeemed,5.00000000,0E-8,183759,936062,1339266607,1770822596
12183,1Ag78Eb2P6GXNySr5dsZsH8DzabdpxDvSR,S2-COIN-10,Redeemed,10.00000000,0E-8,183759,936062,1339266607,1770822596
10195,1P2muQica94Ybxu6ATzNVJdBAiiLot7GoV,S1-COIN-1,Redeemed,1.00000000,0E-8,157370,935864,1323802451,1770705352
