snapshot,balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
150000,ge100,P2PKH,never_spent,3899,19903,380435516606750,0,0,0,0.00
150000,ge1000,All,active,116,1676,46641723465058,116,1676,46641723465058,0.65
150000,ge1000,All,all,648,4538,358435127112760,126,1733,54010070465058,0.67
150000,ge1000,All,inactive,9,56,7045030000000,9,56,7045030000000,0.02
150000,ge1000,All,never_spent,523,2806,304748373647702,1,1,323317000000,0.00
150000,ge1000,P2PK,all,1,1,323317000000,1,1,323317000000,0.00
150000,ge1000,P2PK,never_spent,1,1,323317000000,1,1,323317000000,0.00
150000,ge1000,P2PKH,active,116,1676,46641723465058,116,1676,46641723465058,0.65
150000,ge1000,P2PKH,all,647,4537,358111810112760,125,1732,53686753465058,0.67
150000,ge1000,P2PKH,inactive,9,56,7045030000000,9,56,7045030000000,0.02
150000,ge1000,P2PKH,never_spent,522,2805,304425056647702,0,0,0,0.00
200000,all,All,active,164293,666877,199433931029271,164293,665830,199172631188800,262.41
200000,all,All,all,879762,2317527,999998998361183,218150,898179,444033119737061,352.97
200000,all,All,inactive,12297,189876,36507674793248,12297,189876,36507674793248,73.28
200000,all,All,never_spent,703172,1460774,764057392538664,41560,42473,208352813755013,17.29
200000,all,P2PK,active,7,16,85052869524,11,16,85052869524,0.01
200000,all,P2PK,all,41550,42388,208480437714854,41552,42387,208480437714854,17.26
200000,all,P2PK,inactive,17,17,48141000000,18,17,48141000000,0.01
200000,all,P2PK,never_spent,41526,42355,208347243845330,41523,42354,208347243845330,17.24
200000,all,P2PKH,active,164278,665799,199085796734784,164280,665799,199085796734784,262.39
200000,all,P2PKH,all,838189,2274053,791133106096163,176613,855774,235550888937715,335.71
200000,all,P2PKH,inactive,12280,189859,36459533793248,12281,189859,36459533793248,73.27
200000,all,P2PKH,never_spent,661631,1418395,555587775568131,52,116,5558409683,0.05
200000,all,P2SH,active,7,15,1781584492,7,15,1781584492,0.01
200000,all,P2SH,all,20,36,124143209695,7,15,1781584492,0.01
200000,all,P2SH,never_spent,13,21,122361625203,0,0,0,0.00
200000,ge1,All,active,22047,340277,199078941426142,22047,339230,198817641585671,130.93
200000,ge1,All,all,153770,951829,997576245856388,69069,481690,443552497629570,186.79
200000,ge1,All,inactive,5571,100112,36383110369880,5571,100112,36383110369880,38.90
200000,ge1,All,never_spent,126152,511440,762114194060366,41451,42348,208351745674019,16.96
200000,ge1,P2PK,active,5,13,85050007201,9,13,85050007201,0.03
200000,ge1,P2PK,all,41472,42297,208479534585525,41474,42296,208479534585525,17.31
200000,ge1,P2PK,inactive,16,16,48140000000,17,16,48140000000,0.32
200000,ge1,P2PK,never_spent,41451,42268,208346344578324,41448,42267,208346344578324,16.96
200000,ge1,P2PKH,active,22038,339208,198730813947290,22040,339208,198730813947290,130.93
200000,ge1,P2PKH,all,112287,908466,788711279762010,27616,439385,235071185412865,169.87
200000,ge1,P2PKH,inactive,5555,100096,36334970369880,5556,100096,36334970369880,38.89
200000,ge1,P2PKH,never_spent,84694,469162,553645495444840,20,81,5401095695,0.05
200000,ge1,P2SH,active,3,9,1777631180,3,9,1777631180,0.00
200000,ge1,P2SH,all,10,19,124131668382,3,9,1777631180,0.00
200000,ge1,P2SH,never_spent,7,10,122354037202,0,0,0,0.00
200000,ge10,All,active,11485,235658,195064242264215,11487,234611,194802942423744,90.40
200000,ge10,All,all,89073,598523,976785952550429,55056,345165,438381571680371,133.88
200000,ge10,All,inactive,2151,68316,35238405288635,2152,68316,35238405288635,26.58
200000,ge10,All,never_spent,75437,294549,746483304997579,41417,42238,208340223967992,16.91
200000,ge10,P2PK,active,5,13,85050007201,9,13,85050007201,0.03
200000,ge10,P2PK,all,41441,42265,208468613975193,41440,42264,208468613975193,17.26
200000,ge10,P2PK,inactive,14,14,47240000000,15,14,47240000000,0.32
200000,ge10,P2PK,never_spent,41422,42238,208336323967992,41416,42237,208336323967992,16.91
200000,ge10,P2PKH,active,11478,234597,194716892416543,11482,234597,194716892416543,90.40
200000,ge10,P2PKH,all,47628,555206,767934295334765,13636,302900,229911957705178,116.98
200000,ge10,P2PKH,inactive,2137,68302,35191165288635,2139,68302,35191165288635,26.57
200000,ge10,P2PKH,never_spent,34013,252307,538026237629587,15,1,3900000000,0.01
